Latitude	Longitude	LULC	drainage density	geomorphology	Soil	Slope	Raninfall	Lithology	lineament density
24.66	88.96	14	0.228957	17	1	2.47901	1244.04	9	0.230426
24.61	89	14	0.155845	14	1	2.04352	1122.47	9	0.198703
24.76	88.9	19	0.213575	12	1	1.70315	1382.1	3	0.221647
24.25	89.21	14	0.1433	12	1	0.761852	1530.78	9	0.170679
24.31	89.22	14	0.041792	9	1	1.36267	1426.03	9	0.273471
24.42	89.25	14	0.259123	12	1	0.481854	1402.24	9	0.280004
24.53	88.99	19	0.100449	9	1	0.761852	1292.51	9	0.241193
24.57	89.14	14	0.281511	10	1	0.481854	1416.94	9	0.204955
24.47	89.14	14	0.211688	13	1	2.07168	1459.47	9	0.129477
24.68	88.3	14	0.244907	30	1	2.88874	1340.5	9	0.21423
24.68	88.22	12	0.081162	17	1	0.481854	1324.39	6	0.156316
24.7	88.12	12	0.086206	24	1	2.38374	1327.01	9	0.186229
24.13	89.27	14	0.158958	8	1	2.38374	1432.01	9	0.034929
25.01	89.54	14	0.254455	15	1	2.45554	1554.67	9	0.196784
